"edge_id","from_location_id","to_location_id","from_road_vertex_id","to_road_vertex_id","road_distance_km","weight"
187,77,78,"10676259827","1918810104",4.58579485586735,0.154178382887828
188,57,79,"12248263838","703216537",2.70462979373143,0.499633750141135
189,58,79,"12438176403","703216537",3.10700215034574,0.450629563373756
190,77,79,"10676259827","703216537",2.56591305157058,0.517734974192685
191,57,80,"12248263838","9689238067",4.40210921591857,0.16161796358946
192,58,80,"12438176403","9689238067",4.49826184955277,0.31535981855723
193,77,80,"10676259827","9689238067",0.259426450601294,0.935610011103272
194,78,80,"1918810104","9689238067",4.81425014694907,0.14540158289294
195,79,80,"703216537","9689238067",2.58239462170553,0.515550410373892
196,62,81,"537974211","10076201472",4.03566645037319,0.355098190763548
197,62,82,"537974211","1293134719",3.83849631968438,0.373522732072799
198,81,82,"10076201472","1293134719",3.84790707435266,0.372622003718297
199,81,83,"10076201472","9156861083",2.99903050818299,0.463286681968309
200,82,83,"1293134719","9156861083",4.35199739720144,0.163709189785187
201,62,84,"537974211","9676941928",4.87460668201344,0.143167435411439
202,81,84,"10076201472","9676941928",3.61396620786647,0.395670842923275
203,82,84,"1293134719","9676941928",2.82067870856556,0.484977584977837
204,83,84,"9156861083","9676941928",3.19245642152184,0.440857685514766
205,83,85,"9156861083","11879353636",4.72499757719711,0.148769396871302
206,68,86,"9920025750","12466843437",3.965117630663,0.361583801864509
207,85,86,"11879353636","12466843437",2.61370776822449,0.511425342691294
208,83,87,"9156861083","6161608791",4.34591321606007,0.327929850190775
209,85,87,"11879353636","6161608791",1.89921835990297,0.614313737221132
210,86,87,"12466843437","6161608791",2.47069526408486,0.530538142425404
211,83,88,"9156861083","9620643059",4.27107040560159,0.334287310977759
212,85,88,"11879353636","9620643059",1.67118115669183,0.651325371370245
213,86,88,"12466843437","9620643059",3.37990286172415,0.420158589171243
214,87,88,"6161608791","9620643059",2.65093153346594,0.506564551325221
215,89,90,"10147123357","11251376206",3.47620825347436,0.409904755695491
216,89,91,"10147123357","530646783",2.3724105572667,0.544085855358767
217,90,91,"11251376206","530646783",1.38562115646418,0.700833608201439
218,71,92,"528858162","9848150121",3.04569891652837,0.45777286905904
219,89,92,"10147123357","9848150121",2.01317877110924,0.596613156617071
220,90,92,"11251376206","9848150121",3.65028113994897,0.392001618538828
221,91,92,"530646783","9848150121",3.25207479398572,0.434165962538122
222,89,93,"10147123357","11281011671",3.17021164779457,0.443380833701034
223,90,93,"11251376206","11281011671",1.63565496687796,0.657288906667686
224,91,93,"530646783","11281011671",1.46849315917242,0.686090445121078
225,93,94,"11281011671","11386809651",3.95473933387686,0.181273915170517
226,94,95,"11386809651","11387277553",0.53624617241803,0.871468657834966
227,94,96,"11386809651","12640803817",2.07286072771634,0.587547656514546
228,95,96,"11387277553","12640803817",1.84909295608992,0.622264706676699
229,94,97,"11386809651","10713032191",2.25834689610567,0.560242873073134
230,95,97,"11387277553","10713032191",2.46893600028919,0.265388825784923
231,94,98,"11386809651","12353238050",2.51475738828846,0.262287287201799
232,97,98,"10713032191","12353238050",1.00109162898022,0.773497598874811
233,94,99,"11386809651","12965549700",1.79948226052207,0.630235356396881
234,95,99,"11387277553","12965549700",1.93608720303794,0.304265230641741
235,96,99,"12640803817","12965549700",2.58080678249495,0.257880235010159
236,97,99,"10713032191","12965549700",1.37211133547908,0.703266898192659
237,98,99,"12353238050","12965549700",1.15773748095451,0.743028689393919
238,94,100,"11386809651","76456805",2.49710325648399,0.263477936864938
239,96,100,"12640803817","76456805",3.09529944285689,0.225992274451696
240,97,100,"10713032191","76456805",1.92373607122564,0.610461779552347
241,98,100,"12353238050","76456805",1.34579332647329,0.708031391384158
242,99,100,"12965549700","76456805",1.25287760270507,0.72511205842269
