station,month,metadata_matched,records,samples_sum,total_flow_count,total_flow_mean,total_flow_weighted_by_samples,average_speed_count,average_speed_mean,average_speed_weighted_by_samples
1111520,04,yes,720,144888,720,848.2083333333334,839.0302716581083,720,66.04124999999999,66.13011222461495
1111520,05,yes,744,141833,744,979.9986559139785,970.2623507928338,744,66.011559139785,65.95184124992075
1111520,06,yes,720,157992,720,1368.7263888888888,1385.5215707124412,720,65.82416666666671,65.78983619423771
1111520,07,yes,744,139434,744,1434.0389784946237,1423.0543411219646,744,65.97110215053753,65.9271497626117
1111520,08,yes,744,136771,744,1656.2876344086021,1638.98479209774,744,65.56505376344093,65.57784252509673
1111520,09,yes,720,94629,720,1789.475,1775.0421118261843,720,65.76722222222219,65.80667871371355
1111520,10,yes,744,142494,744,1614.9543010752689,1627.580613920586,744,65.97607526881721,66.0052514491839
1111520,11,yes,720,149662,720,1486.576388888889,1477.8696729964854,720,65.70597222222223,65.70935842097524
1111520,12,yes,744,154496,744,1375.1209677419354,1374.8375945008286,744,65.72795698924728,65.73641841859985
1111525,01,yes,744,354397,744,2625.444892473118,2616.509798333507,744,67.3352150537634,67.34394027037476
1111525,02,yes,696,332601,696,2677.405172413793,2673.6680797712575,696,67.29037356321847,67.29032083487421
1111525,03,yes,743,355430,743,1880.248990578735,1881.8762681822018,743,67.60444145356657,67.6041642517514
1111525,04,yes,720,341239,720,1140.8805555555555,1140.192964461858,720,68.27569444444445,68.29027954014634
1111525,05,yes,744,338364,744,1474.4126344086021,1462.2901904457922,744,68.48051075268819,68.49315323143125
1111525,06,yes,720,338838,720,1854.3472222222222,1870.3895460367492,720,67.92124999999994,67.93420248024128
1111525,07,yes,744,339416,744,1935.9879032258063,1940.5661223984728,744,67.49005376344086,67.51244461074316
1111525,08,yes,744,353587,744,2000.090053763441,2000.8273720470493,744,67.6904569892473,67.68820488309808
1111525,09,yes,720,312124,720,2077.7208333333333,2028.9422088657072,720,67.62374999999997,67.74868577872898
1111525,10,yes,744,336459,744,2097.430107526882,2101.735236685599,744,67.6852150537634,67.73394321447783
1111525,11,yes,720,345000,720,1863.6208333333334,1861.3632695652175,720,67.90458333333342,67.90703072463768
1111525,12,yes,744,354849,744,1745.489247311828,1741.1054730321912,744,68.02204301075271,68.02802290551756
1111526,01,yes,744,176769,744,1562.4744623655913,1556.4502882292709,744,61.7262096774194,61.75672600965104
1111526,02,yes,696,165940,696,1591.8577586206898,1591.7137579848138,696,62.11810344827578,62.118663974930726
1111526,03,yes,743,177273,743,1248.5222072678332,1248.6347272286248,743,63.670794078061846,63.67206511989985
1111526,04,yes,720,170271,720,918.0208333333334,920.7335424118023,720,65.49805555555555,65.49064550040818
1111526,05,yes,744,169039,744,1110.52688172043,1107.1416122906548,744,65.15443548387103,65.19412502440264
1111526,06,yes,720,169103,720,1312.3055555555557,1325.5443368834378,720,64.32472222222229,64.29750743629623
1111526,07,yes,744,167088,744,1317.3333333333333,1321.7959039548023,744,63.79704301075265,64.11904206166805
1111526,08,yes,744,176023,744,1334.4354838709678,1337.1135533424608,744,64.0055107526882,64.03772972850142
1111526,09,yes,720,156258,720,1343.1888888888889,1308.1266175171831,720,64.26027777777769,64.37482944873221
1111526,10,yes,744,168024,744,1390.010752688172,1402.5739120601818,744,64.0138440860215,63.98443317621294
1111526,11,yes,720,172094,720,1247.8527777777779,1246.1951549734447,720,64.4330555555555,64.43766081327644
1111526,12,yes,744,176970,744,1258.2069892473119,1255.9093123128214,744,64.2451612903225,64.26866192009946
1111527,01,yes,744,176766,744,1565.9583333333333,1560.283278458527,744,62.46397849462364,62.49962549359037
1111527,02,yes,696,165704,696,1584.0933908045977,1581.7128494182398,696,62.957183908046005,63.00941679138704
1111527,03,yes,743,177274,743,1279.8815612382234,1280.2664350102102,743,64.10982503364738,64.10883603912586
1111527,04,yes,720,170279,720,973.9027777777778,976.0262451623512,720,65.51013888888879,65.49794337528408
1111527,05,yes,744,169063,744,1196.9744623655913,1185.9847335017123,744,65.3235215053763,65.3589040771784
1111527,06,yes,720,169109,720,1414.7486111111111,1429.4216984311893,720,64.85777777777773,64.8278122394432
1111527,07,yes,744,167127,744,1372.6586021505377,1415.9776277920384,744,64.69287634408602,64.88644444045542
1111527,08,yes,744,176214,744,1446.018817204301,1449.938268242024,744,63.7915322580646,63.770530150839335
1111527,09,yes,720,156266,720,1359.675,1395.0379609128024,720,63.89194444444445,64.11680083959402
1111527,10,yes,744,168054,744,1434.5967741935483,1454.474216620848,744,64.93965053763428,64.98045687695623
1111527,11,yes,720,171859,720,1353.4472222222223,1352.365782414654,720,65.03666666666672,65.04165973268783
1111527,12,yes,744,176952,744,1338.5994623655913,1336.2947918079478,744,64.9150537634408,64.93668508974183
1111530,01,yes,744,440439,744,3078.069892473118,3054.3764652993946,744,67.22567204301075,67.25646979490924
1111530,02,yes,696,405562,696,3157.3778735632186,3093.359059773845,696,67.13965517241373,67.27097558449762
1111530,03,yes,743,436744,743,2487.8842530282636,2454.317886450644,743,67.33526244952895,67.35128542120782
1111530,04,yes,720,396157,720,1871.5194444444444,1760.0330374068867,720,67.0740277777777,67.10213274030251
1111530,05,yes,744,339909,744,2444.6330645161293,2166.268460087847,744,67.67903225806452,68.11338622984385
1111530,06,yes,720,258442,720,3476.1319444444443,2961.1914975120144,720,62.88930555555556,63.52112195386206
1111530,07,yes,744,203937,744,3530.0564516129034,3169.808406517699,744,63.07338709677424,65.92455317083216
1111530,08,yes,744,428217,744,2907.1868279569894,2875.8634033679186,744,68.13508064516128,68.15357587391439
1111530,09,yes,720,335634,720,2969.159722222222,2896.87415756449,720,68.03,68.05097427555016
1111530,10,yes,744,420692,744,3051.739247311828,3092.747741815865,744,68.32970430107528,68.3010028714594
1111530,11,yes,720,430927,720,2911.7277777777776,2909.9951105407645,720,67.80694444444445,67.80890336414288
1111530,12,yes,744,443350,744,2834.1263440860216,2830.0288485395286,744,68.08333333333336,68.09796323446487
1111531,01,yes,744,353784,744,3257.5739247311826,3241.011006715962,744,64.70698924731177,64.73505783189744
1111531,02,yes,696,325315,696,3350.010057471264,3290.207549605767,696,64.84482758620697,64.90802237831025
1111531,03,yes,743,351587,743,2622.1615074024226,2591.03394607878,743,65.06756393001342,65.09329696490485
1111531,04,yes,720,316861,720,1909.7875,1791.1079053591322,720,65.11291666666668,65.13554934182496
1111531,05,yes,744,269843,744,2373.9596774193546,2023.294052467546,744,65.03561827956993,65.23432847989386
1111531,06,yes,720,217784,720,2729.9,2176.7793409984206,720,65.1055555555555,65.46411122947508
